"","response_id","respondent_gender","gender_string","win","gender_male","gender_female","age_29","age_45","age_65","num_child_0","num_child_1","num_child_3","occ_teacher","occ_lawyer","occ_politician","occ_homemaker","years_in_pol_0","years_in_pol_1","years_in_pol_3","years_in_pol_8","spouse_occ_politician","spouse_occ_doctor","spouse_occ_farmer","spouse_occ_unmarried","caste_forward","caste_backward"
"94","5f3bd99e-fc2f-e945-1c72-63b70f18e611","Male","Female",0,"0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1"
"95","5f3bd99e-fc2f-e945-1c72-63b70f18e611","Male","Male",0,"1","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1"
"96","5f3bd99e-fc2f-e945-1c72-63b70f18e611","Male","Female",0,"0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0"
"97","5f3bd9a1-bef4-6b37-b828-75b83411b87c","Male","Male",1,"1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"98","5f3bd9a1-bef4-6b37-b828-75b83411b87c","Male","Female",1,"0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0"
"99","5f3bd9a1-bef4-6b37-b828-75b83411b87c","Male","Female",1,"0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0"
"100","5f3bd9a1-bef4-6b37-b828-75b83411b87c","Male","Male",0,"1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"101","5f3bd9a1-bef4-6b37-b828-75b83411b87c","Male","Male",0,"1","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0"
"102","5f3bd9a1-bef4-6b37-b828-75b83411b87c","Male","Female",0,"0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1"
"103","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Female",1,"0","1","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0"
"104","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Male",1,"1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1"
"105","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Female",1,"0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1"
"106","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Male",0,"1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","0"
"107","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Female",0,"0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0"
"108","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Male",0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"109","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Female",1,"0","1","0","1","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1"
"110","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Male",1,"1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1"
"111","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Male",1,"1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0"
"112","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Female",0,"0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1"
"113","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Male",0,"1","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","0"
"114","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Female",0,"0","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0"
"115","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Female",1,"0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0"
"116","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Male",1,"1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1"
"117","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Female",1,"0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0"
"118","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Female",0,"0","1","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1"
"119","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Male",0,"1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"120","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Male",0,"1","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0"
"121","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Male",1,"1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0"
"122","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Female",1,"0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1"
"123","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Female",1,"0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0"
"124","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Male",0,"1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1"
"125","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Male",0,"1","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1"
"126","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Female",0,"0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","1","0"
"127","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Female",1,"0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1"
"128","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Male",1,"1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0"
"129","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Male",1,"1","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1"
"130","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Female",0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1"
"131","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Male",0,"1","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0"
"132","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Female",0,"0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0"
"133","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Female",1,"0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1"
"134","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Female",1,"0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1"
"135","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Male",1,"1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1"
"136","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Male",0,"1","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0"
"137","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Female",0,"0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0"
"138","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Male",0,"1","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0"
"139","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Female",1,"0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0"
"140","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Female",1,"0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1"
"141","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Male",1,"1","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0"
"142","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Male",0,"1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0"
"143","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Male",0,"1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1"
"144","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Female",0,"0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","1"
"145","5f3bdb70-754d-6611-d220-3f422d9a86b2","Female","Male",1,"1","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0"
"146","5f3bdb70-754d-6611-d220-3f422d9a86b2","Female","Female",1,"0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1"
"147","5f3bdb70-754d-6611-d220-3f422d9a86b2","Female","Female",1,"0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1"
"148","5f3bdb70-754d-6611-d220-3f422d9a86b2","Female","Male",0,"1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","1","0"
